% Model:              Brillouin_Gain_CS2_900nm_capillary_BSBS_2D.mph
% Version:            COMSOL 5.6.0.401
% Date:               Nov 30 2022, 15:11
% Table:              Table 30 - 2D Gain
% freq (Hz),GB (s^3/(kg*m^3))
freq,gb
2000000000,0.1008178804771502
2005000000,0.10423557972548048
2010000000,0.10783744090344392
2015000000,0.11163696280327066
2020000000,0.1156487969153812
2025000000,0.11988893630239884
2030000000,0.12437495545863757
2035000000,0.12912623377733037
2040000000,0.13416412957940785
2045000000,0.1395121332732964
2050000000,0.1451960660840283
2055000000,0.15124437755019118
2060000000,0.1576885464164985
2065000000,0.16456354483787988
2070000000,0.1719083173893199
2075000000,0.17976626118381334
2080000000,0.18818574755681566
2085000000,0.1972207592268557
2090000000,0.20693170385412693
2095000000,0.21738641590431498
2100000000,0.22866131478174548
2105000000,0.24084268805568693
2110000000,0.2540281180495317
2115000000,0.2683281325499456
2120000000,0.28386819115918005
2125000000,0.30079109931135
2130000000,0.3192598952098812
2135000000,0.3394612271557568
2140000000,0.36160925939633987
2145000000,0.3859502028750256
2.15E9,0.41276762488413077
2.155E9,0.44238871235714167
2.16E9,0.4751916333577205
2.165E9,0.5116140711315433
2.17E9,0.5521629170849593
2.175E9,0.5974250120068827
2.18E9,0.6480786849009703
2.185E9,0.7049055599308355
2.19E9,0.7688015392940936
2.195E9,0.8407848683791355
2.2E9,0.9219975956731109
2.205E9,1.0136943550493218
2.21E9,1.1172089210079357
2.215E9,1.2338840545790049
2.22E9,1.3649436295661874
2.225E9,1.5112786755615741
2.23E9,1.6731136976018066
2.235E9,1.8495232983967103
2.24E9,2.037794554675923
2.245E9,2.232696323263249
2.25E9,2.425838195568077
2.255E9,2.605465180419714
2.26E9,2.7571526326311866
2.265E9,2.865762384263688
2.27E9,2.9185304847234805
2.275E9,2.908382997641504
2.28E9,2.836054274525871
2.285E9,2.7099235564113733
2.29E9,2.543641116468436
2.295E9,2.3527214127696308
2.3E9,2.1515220158528234
2.305E9,1.9514373214903082
2.31E9,1.7603587344419993
2.315E9,1.5829965138646762
2.32E9,1.4215893853789585
2.325E9,1.2766651931232949
2.33E9,1.1476839833079522
2.335E9,1.0335141772190104
2.34E9,0.9327540993553999
2.345E9,0.843933038052293
2.35E9,0.7656274203994806
2.355E9,0.6965211992066574
2.36E9,0.6354316040309723
2.365E9,0.581314562425592
2.37E9,0.533258984275262
2.375E9,0.4904755728494797
2.38E9,0.45228351146012147
2.385E9,0.41809691201203303
2.39E9,0.3874120159846682
2.395E9,0.35979560638994207
2.4E9,0.33487478451520614
2.405E9,0.3123280993299396
2.41E9,0.2918779343609094
2.415E9,0.27328402168062144
2.42E9,0.25633794358565365
2.425E9,0.24085848600133694
2.43E9,0.22668771600826906
2.435E9,0.21368766655194182
2.44E9,0.20173752520827173
2.445E9,0.19073124153922244
2.45E9,0.18057548651468844
2.455E9,0.17118791294790436
2.46E9,0.16249567521374286
2.465E9,0.15443417108348526
2.47E9,0.14694597155256572
2.475E9,0.13997990815996653
2.48E9,0.1334902917222728
2.485E9,0.12743624094320535
2.49E9,0.12178110338664504
2.495E9,0.11649195457549885
2.5E9,0.11153916353946723
